Тема,Описание,Тип оборудования,Точка отказа,Серийный номер
СИЛА НК2-1404 // Погнутость крышки // С223012632,"Добрый день, коллеги. Обнаружили погнутость крышки, фото во вложении. Хотим передать на диагностику",Ноутбук,Корпус,C223012632
Неисправность диска Enclosure=6:Disk=32 dd202,"Коллеги, добрый день.
Прошу открыть кейс по неисправному диску на оборудовании Data Domain:
sysadmin@dd202-p1(active:0)# alerts show current
Id       Post Time                  Severity   Class               Object                         Message
------   ------------------------   --------   -----------------   ----------------------------   ------------------------------------------------------------------------
p0-86    Fri Apr  5 06:22:28 2024   ERROR      SystemMaintenance                                  EVT-SMTOOL-00001: Error communicating with mail server.
p0-133   Fri Jul  5 20:42:39 2024   CRITICAL   HardwareFailure     Enclosure=1:DIMM=MR6 DIMM D0   EVT-DIMM-00003: A memory card has failed
m0-56    Thu Jul 25 22:18:11 2024   CRITICAL   HardwareFailure     Enclosure=6:Disk=32            EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
------   ------------------------   --------   -----------------   ----------------------------   ------------------------------------------------------------------------
There are 3 active alerts.
sysadmin@dd202-p1(active:0)#",СХД,Диск,"E419120013, CKM00194301861"
СИЛА НК2-1404// Замена ЗУ на ноутбуках Сила HK2-1404 (в кол-ве 6 шт.),"Вышли из строя ЗУ от ноутбуков СИЛА НК2-1404, в кол-ве 6шт. Прошу принять заявку на гарантийную замену ЗУ от ноутбуков Сила:
s/n:C223011170
s/n:C223102198 
s/n:C223011889 
s/n:C223101201 
s/n:C223100299 
s/n:C223011531",Ноутбук,Блок питания,"C223011170, C223102198, C223011889, C223101201, C223100299, C223011531"
FW: Гарантийный случай,"Добрый день 
 по одному из ноутбуков СИЛА НК2-1404 вышел из строя блок питания.",Ноутбук,Блок питания,C223014096
Неисправность сервера СИЛА // 46919,"Коллеги, добрый день. 
 Просьба принять запрос. 
 Модель: сервер CP2 – 5422
S/N : D252030014 
 Расположение: КВ7 
Описание: Неисправность системы охлаждения сервером + неисправность процессора при полной загрузке ЦП частота не поднимается выше 1ГГц 
 bios 8.3 BMC 1262_2
Дополнительная информация о неисправности во вложении.",Сервер,Сервер,D252030014
Ноутбук СИЛА HK1-1425/ i5-1135G7/8G/m.2 256Gb/В3Y//525455,Не рабочий HDMI,Ноутбук,Материнская плата,C111110043
Ноутбук Сила HK2-1404\ Модернизация WiFi антенны,Необходимо произвести модернизацию WiFi антенны на ноутбуках Сила HK2-1404 S/N C223010918 и C223012938,Ноутбук,Wi-fi антенна,C223012938
Неисправность сервера СИЛА  // 46900,"Коллеги, добрый день. 
 Просьба принять запрос. 
Неисправность сервера СИЛА  // 46900 
 Модель: Сервер Сила 
 S/N D252030050 

 Описание: Все ошибки которые удалось получить приведены ниже , далее модуль управления перестал отвечать и в данный момент не доступен. 
 Service phosphor-ipmi-host.service has exited unsuccessfully. 
 ila-rwfs-watchdog[20328]: /dev/mtdblock5 is full: coredumps and rotated logs were saved: /tmp/coredump-rwfs.tar.xz. 
 Core_(all core)_CPU2 sensor crossed a critical high threshold going high. Reading=75.000000 Threshold=75.000000 .",Сервер,Сервер,D252030050
Гарантийный ремонт,"При включении нового ноутбука из коробки, на экране были обнаружены ""помехи""",Ноутбук,Матрица,С223091324
не работоспособность BMC,"Добрый день.

Сервер перестал пускать в BMC возвращая Invalid username or password
Ни под одним из трех пользователей не удается зайти ни по https ни по ssh
После попытки перезагрузки сервер индицирует ошибку (server_leds_18072024.jpg),до загрузки  ОС не доходит.

Таких серверов 4 шт, по каждому сделана отдельная заявка",Сервер,Материнская плата,"D253040009, D253010009"
HK2-1404 // Не работает кнопка влючения и jack 3.5,"Не работает кнопка влючения и jack 3.5

Это не гарантийный ремонт, т.к. jack 3.5 отсутствует по вине пользователя.",Ноутбук,Клавиатура,C223011660
СИЛА НК2-1404//нет звука и видеосигнала,Будьте добры сообщить адрес сервисного центра в г.Липецке,Ноутбук,Материнская плата,C222091964
