Тема,Описание,Точка отказа,Серийный номер,Тип оборудования
Неисправность Ноутбук СИЛА НК2-3404 - NTB48447 S/N,"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB48447 (S/N: C223091505)
 Описание неисправности – вышла из строя матрица. По всей площади экрана полосы и мерцание. Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная.",Матрица,C223091505,Ноутбук
Гарантийный ремонт Т2,"Добрый день. 
 Прошу произвести гарантийный ремонт ноутбука: 
 1.       СИЛА НК2-1404 s/n C223014726 (Отклеилась защитная сетка на крышке, в связи с чем кулер цепляет и издает звук)",Вентилятор,C223014726,Ноутбук
НК2-1404 v2 // Не работает зарядное устройство,Не работает зарядное устройство,Блок питания,C223100822,Ноутбук
НК2-1404 // Не работает Wi-FI (Кашира),На устройстве не работает WiFi,Wi-fi антенна,C223101179,Ноутбук
Сервер СР2-5422 // После обновления bios и bmc появились ошибки системных кулеров,"Добрый день!
После обновления bios и bmc в bmc было зафиксировано нулевое значение оборотов системных кулеров (скриншот во вложении). Логи были очищены; после перезагрузки bmc логи перестали собираться, а значения оборотов кулеров так и остались на нуле.
версия bios: 8.3
версия bmc: 1264_3",Вентилятор,D251110031,Сервер
мерцает экран ноутбука,мерцает экран ноутбука,Матрица,C223091623,Ноутбук
Ноутбук Сила НК2-1404 v2  SN:  не работает сетевой адаптер,Ноутбук Сила НК2-1404 v2  SN:  C223100312 не работает сетевой адаптер,Wi-fi модуль,C223100312,Ноутбук
Сервер СР2-5422 // После обновления bios и bmc перестал работать BMC,"Привет! Обновили BIOS и BMC до последней версии (SILA_015_bios_rev8_3/CUBE 1.5).
Доступ к серверу по IPMI пропал. В BIOS настраивать BMC (повесить IP и тд) можно, но сервер по bmc не пингуется и не доступен по веб соответственно.
Пробовали отключать питание на 10 минут. Отключать в BIOS bmc функцию и снова включать. Проблема осталась",Материнская плата,D251110011,Сервер
Повреждение матрицы,Прошу произвести диагностику и сориентировать по условиям ремонта данного ноутбука.,Матрица,C223014328,Ноутбук
HK2-1404 // шумит кулер + артефакты на экране ноутбука,"Добрый день.

Прошу осуществить забор и последующий ремонт ноутбука  sn:C223010327.

Неисправность:

1)  шумит кулер (во вложении видео)
2) периодически появляются артефакты на экране ноутбука, в особенности, при работе в excel (во вложении видео).",Корпус,C223010327,Ноутбук
Ошибка диска Enclosure=3:Disk=5 на datadomain,"Коллеги, добрый день.
Прошу открыть кейс по неисправному диску на оборудовании DataDomain
sysadmin@dd501-p1(active:1)# alert show current
Id      Post Time                  Severity   Class             Object                Message
-----   ------------------------   --------   ---------------   -------------------   ------------------------------------------------------------------------
m0-37   Tue Jul 16 21:15:42 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=57   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
-----   ------------------------   --------   ---------------   -------------------   ------------------------------------------------------------------------
There is 1 active alert",Диск,CKM00194300974,Сервер
Неисправность сервера // 46906,"Коллеги, добрый день.
Просьба принять запрос.
Модель: сервер CP2 – 5422
S/N : D252030012 

 Описание: Неисправность системы охлаждения сервера. 
 Приоритет: 3 
 Дополнительная информация во вложении.",Сервер,D252030012,Сервер
Неисправность сервера СИЛА // 46917,"Коллеги, добрый день. 
 Просьба принять запрос. 
 Модель: сервер CP2 – 5422
S/N : D252030019 
 Расположение: КВ7 
Описание: Неисправность модуля управления сервером. 
 Скриншоты с проблемой во вложении.",Сервер,D252030019,Сервер
BIOS'ы,"Здравствуйте!
Поделитесь, пожалуйста, последними версиями BIOS на НК2-1404 и НК2-3404",Консультация,C223010345,Ноутбук
Ноутбук СИЛА НК2-3404// рябь экрана // c223091025,"Коллеги, привет!

Столкнулись с проблемой на ноутбуке Сила модель нк2-3404 s/n c223091025
У пользователя начал рябить экран, видео прилагаю
Необходимо организавать гарантийный ремонт ноутбука",Матрица,C223091025,Ноутбук
sila HK2-1404 c223014125 asset 7101087,"Добрый день!
Прошу взять ноутбук sila HK2-1404 c223014125 asset 7101087 в гарантийный ремонт
Не включается, нет индикации заряда",Материнская плата,C223014125,Ноутбук
HK2-1404 // Проблема с портом type-c,"Добрый день!
Не работает один порт type-c.",Материнская плата,C223012095,Ноутбук
Неисправность Ноутбук СИЛА НК2-3404 - NTB48532 S/N,"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB48532 (S/N: C223090552)
 Описание неисправности – вышла из строя матрица. В верхней части экрана полосы и мерцание. Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная.",Матрица,C223090552,Ноутбук
НК2-1404 // Проблемы с зарядными устройствами,"Добрый день,
вышли из строя зарядные устройства.
Просьба завести заявку в рамках гарантийного ремонта.
 C223012685 C223010230 C223010386",Блок питания,"C223012685, C223010230, C223010386",Ноутбук
Ноутбук НК2-1404 // Вентилятор трется о сетку,"Добрый день.
Спустя 30 минут работы вентилятор трется о сетку
Прошу помочь в решении данной проблемы
Спасибо",Вентилятор,C223012430,Ноутбук
Заявка на гарант,"Здравствуйте!
Ноутбук C223094573 периодически мерцает экран. 
 Еще один ноутбук C223094545 сегодня забирают на ремонт. Могу ли я отдать сразу оба?",Матрица,C223094573,Ноутбук
СИЛА НК2-3404  // мерцающая матрица,"Привет, Коллеги.
Снова мерцающие полосы у Силы.  

Серийник: C223090123",Материнская плата,C223090123,Ноутбук
Неисправность сервера СИЛА // 46923,"Модель: сервер CP2 – 5422
S/N : D252030011 
 Расположение: КВ7 
 Описание: Неисправность системы охлаждения сервера 
 Дополнительная информация во вложении.",Сервер,D252030011,Сервер
СИЛА HK2-1404 // Не работает зарядное устройство,Не работает зарядное устройство,Блок питания,C223011088,Ноутбук
Не работает дисплей,Не работает дисплей ноутбука.,Матрица,C223011312,Ноутбук
Неисправность ноутбука Сила NTB49600 (Платформа),"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB49600 (S/N: C223090096)
 Описание неисправности – Вышла из строя матрица. В нижней части экрана образовались полосы разной длины, ширины, появилось мерцание. Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, неисправность аппаратная.",Матрица,C223090096,Ноутбук
Проблема с изображением на дисплее,"Возникла проблема с отображением информации на дисплее.
Прошу забрать для диагностики",Матрица,C223090664,Ноутбук
Hа: Ноутбук Сила ООО Газпром бурение,"У ноутбука СИЛА НК2-1404 S/N C222091115 возникла проблема:
На прошлой неделе сотрудник работал как обычно, вечером ушёл домой, утром 
пришёл и на ноутбуке показало, что нет системы
В ходе проверки было обнаружено полное обнуление SSD Диска включая SMART",Диск,C222091115,Ноутбук
Сервер СР2-5422 // После обновления bios и bmc появились ошибки системных кулеров,"Добрый день!
После обновления bios и bmc появились ошибки связанные с системными кулерами (скриншот и выгрузка логов во вложении).
System_Fan_1 sensor crossed a critical low threshold going low. Reading=0.000000 Threshold=100.000000 .
System_Fan_2 sensor crossed a critical low threshold going low. Reading=0.000000 Threshold=100.000000 .
System_Fan_3 sensor crossed a critical low threshold going low. Reading=0.000000 Threshold=100.000000 .
Сброс логов с последующей перезагрузкой bmc не помогли",Материнская плата,D251110015,Сервер
Не работает блок питания,Не работает блок питания на ноутбуке sn C223010123,Блок питания,C223010123,Ноутбук
Ноутбук Сила HK2-1404\ Модернизация WiFi антенны,Необходимо произвести модернизацию WiFi антенны на ноутбуках Сила HK2-1404 S/N C223010918 и C223012938,Wi-fi антенна,C223012938,Ноутбук
